Name,State/Region,Quantity,Calories (kcal),Protein (g),Carbs (g),Fat (g),Veg/Non-Veg,Meal Type,Ingredients
Pakoda + Chutney + Tea,Himachal Pradesh,200g (6-8 pieces + 2 tbsp + 1 cup),305,8,34,15,Veg,Snacks,"Gram flour, onions, potatoes, spinach, oil, mint chutney, tea, milk"
Bread Pakoda + Chutney,Himachal Pradesh,120g (2 pieces + 2 tbsp),295,8,36,12,Veg,Snacks,"Bread, gram flour, potatoes, green chilies, mint chutney"
Bhel Puri + Sev,Himachal Pradesh,80g (1 small plate),185,4,32,5,Veg,Snacks,"Puffed rice, sev, onions, tomatoes, chutneys, coriander"
Papdi Chaat + Toppings,Himachal Pradesh,100g (1 small plate),225,5,32,8,Veg,Snacks,"Wheat crisps, potatoes, chickpeas, yogurt, chutneys, sev"
Dahi Bhalla + Chutney,Himachal Pradesh,100g (2 pieces + chutneys),185,6,25,8,Veg,Snacks,"Urad dal, yogurt, tamarind chutney, mint chutney, chaat masala"
Aloo Tikki + Chutneys,Himachal Pradesh,120g (2 pieces + chutneys),245,5,36,9,Veg,Snacks,"Potatoes, green chilies, coriander, cumin, breadcrumbs, oil, chutneys"
Gol Gappe + Filling,Himachal Pradesh,100g (8 pieces + filling),145,3,28,2,Veg,Snacks,"Semolina, potatoes, chickpeas, spiced water, chutneys"
Raj Kachori + Chutneys,Himachal Pradesh,140g (1 large piece + fillings + chutneys),365,8,46,16,Veg,Snacks,"Refined flour, moong dal, potatoes, yogurt, chutneys, sev"
Kachori + Aloo Sabzi + Chutney,Himachal Pradesh,230g (3 pieces + 1 medium bowl + 2 tbsp),470,10,63,20,Veg,Snacks,"Refined flour, moong dal, fennel, potatoes, onions, tamarind chutney"
Chana Chaat + Onions,Himachal Pradesh,100g (1 small bowl),185,8,28,6,Veg,Snacks,"Chickpeas, onions, tomatoes, chutneys, chaat masala, coriander"
Aloo Chaat + Chutneys,Himachal Pradesh,100g (1 small plate),165,3,28,5,Veg,Snacks,"Potatoes, chutneys, yogurt, sev, onions, tomatoes"
Fruit Chaat + Chaat Masala,Himachal Pradesh,150g (1 medium bowl),125,2,28,1,Veg,Snacks,"Mixed fruits, chaat masala, lemon juice, black salt"
Mathri + Pickle,Himachal Pradesh,60g (4-5 pieces + 1 tbsp),245,6,28,12,Veg,Snacks,"Refined flour, ghee, cumin, carom seeds, pickle"
Namkeen Mix + Roasted Chana,Himachal Pradesh,80g (1 small bowl),285,12,32,12,Veg,Snacks,"Mixed namkeen, roasted chickpeas, peanuts, sev, spices"
Bhujia + Peanuts,Himachal Pradesh,60g (1 small packet),285,10,25,18,Veg,Snacks,"Gram flour noodles, peanuts, spices, oil"
Chana Jor Garam,Himachal Pradesh,50g (1 small packet),165,8,24,4,Veg,Snacks,"Flattened chickpeas, spices, chaat masala, lemon"
Khakhra + Pickle,Himachal Pradesh,50g (3-4 pieces + 1 tbsp),185,5,28,6,Veg,Snacks,"Wheat flour, oil, spices, pickle"
Nimco + Roasted Nuts,Himachal Pradesh,70g (1 small bowl),285,10,28,16,Veg,Snacks,"Mixed savory snacks, roasted nuts, spices"
Sepu Vadi + Chutney,Himachal Pradesh,80g (4-5 pieces + 2 tbsp),265,8,32,12,Veg,Snacks,"Urad dal, spinach, ginger, green chilies, mint chutney"
Chilta + Ghee,Himachal Pradesh,120g (2 pieces + 1 tsp),285,8,48,8,Veg,Snacks,"Buckwheat flour, wheat flour, oil, ghee"
Mittha + Nuts,Himachal Pradesh,80g (1 small bowl),325,6,52,12,Veg,Snacks,"Rice, jaggery, ghee, cardamom, nuts"
Lingri + Pickle,Himachal Pradesh,60g (1 small bowl + 1 tbsp),185,4,24,8,Veg,Snacks,"Fern vegetable, oil, turmeric, pickle"
Dhokla + Green Chutney + Tea + Jalebi,Gujarat,320g (4 pieces + 2 tbsp chutney + 1 cup tea + 2 pieces jalebi),485,14.2,82.6,12.8,Veg,Breakfast/Snack,"Gram flour, yogurt, green chutney, tea leaves, sugar syrup"
Gujarati Thali + Roti + Rice + Dal + Sabzi,Gujarat,650g (1 full thali),685,24.8,96.4,22.6,Veg,Lunch/Dinner,"Mixed dal, vegetables, roti, rice, pickle, papad, sweet, ghee"
Khandvi + Tea + Khakhra + Pickle,Gujarat,250g (6 pieces + 1 cup tea + 2 khakhras + 1 tsp pickle),385,12.4,58.6,12.8,Veg,Snack,"Gram flour, yogurt, mustard seeds, khakhra, pickle"
Thepla + Curd + Pickle + Chai,Gujarat,320g (3 theplas + 1 bowl curd + 1 tsp pickle + 1 cup chai),465,16.8,68.2,14.6,Veg,Breakfast,"Wheat flour, fenugreek leaves, yogurt, pickle, tea"
Fafda + Jalebi + Green Chutney + Tea,Gujarat,300g (3 fafdas + 3 jalebis + 2 tbsp chutney + 1 cup tea),585,12.6,86.4,20.8,Veg,Breakfast/Snack,"Gram flour, sugar syrup, green chutney, tea leaves"
Undhiyu + Puri + Rice + Pickle,Gujarat,480g (1 bowl + 3 puris + 1 cup rice + 1 tsp pickle),565,16.4,82.6,18.8,Veg,Lunch/Dinner,"Mixed winter vegetables, wheat flour, rice, pickle, spices"
Khaman + Green Chutney + Tea + Sev,Gujarat,280g (4 pieces + 2 tbsp chutney + 1 cup tea + 1 tbsp sev),385,10.8,68.4,10.2,Veg,Snack,"Gram flour, yogurt, mustard seeds, green chutney, sev"
Handvo + Curd + Pickle + Buttermilk,Gujarat,350g (2 pieces + 1 bowl curd + 1 tsp pickle + 1 glass buttermilk),465,18.4,62.8,16.2,Veg,Breakfast/Lunch,"Mixed lentils, rice, vegetables, yogurt, pickle"
Dal Dhokli + Rice + Pickle + Papad,Gujarat,450g (1 bowl + 1 cup rice + 1 tsp pickle + 1 papad),485,18.6,76.8,12.4,Veg,Lunch/Dinner,"Wheat flour, toor dal, vegetables, rice, pickle"
Sev Tameta + Roti + Dal + Rice,Gujarat,420g (1 bowl + 2 rotis + 1 bowl dal + 1 cup rice),525,16.8,82.4,14.2,Veg,Lunch/Dinner,"Tomatoes, sev, wheat flour, lentils, rice"
Khichdi + Kadhi + Pickle + Papad + Ghee,Gujarat,450g (1 bowl + 1 bowl kadhi + 1 tsp pickle + 1 papad + 1 tsp ghee),485,16.4,72.8,14.6,Veg,Lunch/Dinner,"Rice, moong dal, yogurt, gram flour, ghee, pickle"
Locho + Green Chutney + Tea + Farsan,Gujarat,280g (1 bowl + 2 tbsp chutney + 1 cup tea + 2 tbsp farsan),425,12.8,62.4,14.8,Veg,Snack,"Gram flour, oil, green chutney, tea, mixture"
Mohanthal + Milk + Dry Fruits,Gujarat,220g (3 pieces + 1 glass milk + 1 tbsp dry fruits),525,16.2,68.4,18.8,Veg,Dessert,"Gram flour, ghee, sugar, milk, almonds"
Gathiya + Tea + Chutney + Pickle,Gujarat,200g (1 bowl + 1 cup tea + 1 tbsp chutney + 1 tsp pickle),465,10.4,58.6,20.6,Veg,Snack,"Gram flour, oil, tea leaves, green chutney"
Bharwan Ringan + Roti + Dal + Rice,Gujarat,480g (1 bowl + 2 rotis + 1 bowl dal + 1 cup rice),525,18.4,76.8,16.2,Veg,Lunch/Dinner,"Stuffed brinjal, wheat flour, lentils, rice, spices"
Aam Ras + Puri + Pickle + Buttermilk,Gujarat,380g (1 bowl + 4 puris + 1 tsp pickle + 1 glass buttermilk),485,12.8,82.4,14.6,Veg,Lunch,"Mango pulp, wheat flour, pickle, buttermilk"
Methi Thepla + Yogurt + Pickle + Tea,Gujarat,320g (3 theplas + 1 bowl yogurt + 1 tsp pickle + 1 cup tea),445,16.4,62.8,14.8,Veg,Breakfast,"Wheat flour, fenugreek, yogurt, pickle, tea"
Dhebra + Curd + Chutney + Buttermilk,Gujarat,300g (3 pieces + 1 bowl curd + 1 tbsp chutney + 1 glass buttermilk),425,14.6,62.4,12.8,Veg,Breakfast/Snack,"Pearl millet flour, yogurt, green chutney, buttermilk"
Gujarati Kadhi + Rice + Roti + Pickle,Gujarat,450g (1 bowl + 1 cup rice + 1 roti + 1 tsp pickle),465,14.8,76.4,12.2,Veg,Lunch/Dinner,"Yogurt, gram flour, ginger, rice, wheat flour"
Patra + Chutney + Tea + Pickle,Gujarat,250g (4 pieces + 2 tbsp chutney + 1 cup tea + 1 tsp pickle),385,12.4,58.6,12.8,Veg,Snack,"Colocasia leaves, gram flour, green chutney, tea"
Surti Locho + Sev + Chutney + Buttermilk,Gujarat,320g (1 bowl + 2 tbsp sev + 2 tbsp chutney + 1 glass buttermilk),425,14.2,62.8,14.6,Veg,Snack,"Gram flour, sev, chutneys, buttermilk"
Shrikhand + Puri + Pickle + Milk,Gujarat,350g (1 bowl + 2 puris + 1 tsp pickle + 1 glass milk),525,18.4,72.6,16.8,Veg,Dessert/Lunch,"Hung yogurt, sugar, cardamom, wheat flour, milk"
Bateta Nu Shaak + Roti + Dal + Rice,Gujarat,420g (1 bowl + 2 rotis + 1 bowl dal + 1 cup rice),485,16.8,78.4,12.6,Veg,Lunch/Dinner,"Potatoes, spices, wheat flour, lentils, rice"
Khakhra + Tea + Pickle + Chutney,Gujarat,180g (4 khakhras + 1 cup tea + 1 tsp pickle + 1 tbsp chutney),325,8.4,58.6,8.2,Veg,Snack,"Wheat flour, oil, tea leaves, pickle, chutney"
Ghughra + Milk + Tea + Dry Fruits,Gujarat,250g (3 pieces + 1 glass milk + 1 cup tea + 1 tbsp dry fruits),565,16.8,72.4,20.6,Veg,Festival/Dessert,"Wheat flour, coconut, jaggery, milk, tea, nuts"
Papdi + Chole + Chutney + Buttermilk,Gujarat,350g (6 papdis + 1 bowl chole + 2 tbsp chutney + 1 glass buttermilk),485,18.4,68.2,16.8,Veg,Snack,"Wheat flour, chickpeas, chutneys, buttermilk"
Rava Dhokla + Green Chutney + Tea + Khakhra,Gujarat,280g (4 pieces + 2 tbsp chutney + 1 cup tea + 1 khakhra),365,10.2,62.8,10.4,Veg,Snack,"Semolina, yogurt, green chutney, tea, khakhra"
Dudhi Halwa + Milk + Almonds,Gujarat,220g (1 bowl + 1 glass milk + 1 tbsp almonds),485,14.6,68.4,16.2,Veg,Dessert,"Bottle gourd, milk, sugar, ghee, almonds"
Sev Usal + Pav + Chutney + Tea,Gujarat,350g (1 bowl + 2 pavs + 1 tbsp chutney + 1 cup tea),465,16.8,68.4,14.2,Veg,Snack,"Mixed sprouts, sev, bread, chutney, tea"
Gujarati Dal + Rice + Roti + Ghee + Pickle,Gujarat,480g (1 bowl + 1 cup rice + 2 rotis + 1 tsp ghee + 1 tsp pickle),525,18.6,82.4,14.8,Veg,Lunch/Dinner,"Toor dal, jaggery, tamarind, rice, wheat flour, ghee"
Dal Rice + Roti + Pickle + Ghee,Gujarat,450g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle + 1 tsp ghee),485,18.4,82.6,10.8,Veg,Lunch/Dinner,"Toor dal, rice, wheat flour, pickle, ghee, turmeric"
Khichdi + Kadhi + Pickle + Papad,Gujarat,420g (1 bowl + 1 bowl kadhi + 1 tsp pickle + 1 papad),425,16.4,72.8,9.6,Veg,Lunch/Dinner,"Rice, moong dal, yogurt, gram flour, pickle, papad"
Thepla + Curd + Pickle + Tea,Gujarat,320g (3 theplas + 1 bowl curd + 1 tsp pickle + 1 cup tea),425,16.8,62.2,12.6,Veg,Breakfast,"Wheat flour, fenugreek leaves, yogurt, pickle, tea"
Poha + Tea + Banana + Peanuts,Gujarat,280g (1 bowl + 1 cup tea + 1 banana + 2 tbsp peanuts),365,10.4,62.8,9.2,Veg,Breakfast,"Flattened rice, onions, peanuts, tea, banana"
Dhokla + Green Chutney + Tea,Gujarat,250g (4 pieces + 2 tbsp chutney + 1 cup tea),325,12.4,58.6,6.8,Veg,Breakfast/Snack,"Gram flour, yogurt, green chutney, tea leaves"
Aloo Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),465,16.8,78.4,9.8,Veg,Lunch/Dinner,"Potato, wheat flour, lentils, rice, spices"
Upma + Coconut Chutney + Tea,Gujarat,280g (1 bowl + 2 tbsp chutney + 1 cup tea),345,8.6,62.4,8.2,Veg,Breakfast,"Semolina, vegetables, coconut chutney, tea"
Rotli + Dal + Sabzi + Rice + Pickle,Gujarat,450g (2 rotlis + 1 bowl dal + 1 bowl sabzi + 1 cup rice + 1 tsp pickle),485,18.2,82.4,10.6,Veg,Lunch/Dinner,"Wheat flour, lentils, seasonal vegetables, rice, pickle"
Gujarati Dal + Rice + Roti + Papad,Gujarat,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 papad),445,16.8,78.6,8.4,Veg,Lunch/Dinner,"Toor dal, jaggery, rice, wheat flour, papad"
Kadhi + Rice + Roti + Pickle,Gujarat,420g (1 bowl kadhi + 1 cup rice + 1 roti + 1 tsp pickle),405,14.8,72.4,8.2,Veg,Lunch/Dinner,"Yogurt, gram flour, rice, wheat flour, pickle"
Khakhra + Tea + Pickle + Curd,Gujarat,200g (3 khakhras + 1 cup tea + 1 tsp pickle + 1 bowl curd),325,12.4,48.6,8.6,Veg,Snack,"Wheat flour, tea leaves, pickle, yogurt"
Bhinda Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),465,16.4,76.8,10.8,Veg,Lunch/Dinner,"Okra, wheat flour, lentils, rice, spices"
Methi Thepla + Buttermilk + Pickle,Gujarat,350g (3 theplas + 1 glass buttermilk + 1 tsp pickle),405,14.6,62.8,10.4,Veg,Breakfast,"Wheat flour, fenugreek, buttermilk, pickle"
Handvo + Curd + Chutney,Gujarat,280g (2 pieces + 1 bowl curd + 1 tbsp chutney),385,16.4,52.8,12.6,Veg,Breakfast/Snack,"Mixed lentils, rice, vegetables, yogurt, chutney"
Ringan Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),465,16.2,76.4,10.8,Veg,Lunch/Dinner,"Brinjal, wheat flour, lentils, rice, spices"
Toor Dal + Rice + Roti + Ghee + Pickle,Gujarat,450g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp ghee + 1 tsp pickle),485,18.4,82.6,10.8,Veg,Lunch/Dinner,"Toor dal, rice, wheat flour, ghee, pickle"
Chana Dal + Rice + Roti + Vegetable,Gujarat,420g (1 bowl dal + 1 cup rice + 1 roti + 1 bowl sabzi),465,18.6,76.2,10.4,Veg,Lunch/Dinner,"Chana dal, rice, wheat flour, seasonal vegetables"
Khaman + Tea + Pickle,Gujarat,220g (4 pieces + 1 cup tea + 1 tsp pickle),285,10.8,52.4,6.2,Veg,Snack,"Gram flour, yogurt, mustard seeds, tea, pickle"
Dudhi Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),445,16.4,78.2,8.6,Veg,Lunch/Dinner,"Bottle gourd, wheat flour, lentils, rice, spices"
Batata Sabzi + Roti + Dal + Pickle,Gujarat,380g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 tsp pickle),445,16.8,74.6,9.8,Veg,Lunch/Dinner,"Potato, wheat flour, lentils, pickle, spices"
Moong Dal + Rice + Roti + Vegetable,Gujarat,420g (1 bowl dal + 1 cup rice + 1 roti + 1 bowl sabzi),445,18.2,74.8,9.4,Veg,Lunch/Dinner,"Moong dal, rice, wheat flour, seasonal vegetables"
Cabbage Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),445,16.2,76.8,9.6,Veg,Lunch/Dinner,"Cabbage, wheat flour, lentils, rice, spices"
Masoor Dal + Rice + Roti + Pickle,Gujarat,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle),465,18.4,78.6,9.8,Veg,Lunch/Dinner,"Red lentils, rice, wheat flour, pickle, spices"
Khandvi + Green Chutney + Tea,Gujarat,220g (6 pieces + 2 tbsp chutney + 1 cup tea),285,10.4,42.6,8.6,Veg,Snack,"Gram flour, yogurt, mustard seeds, green chutney, tea"
Karela Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),445,16.4,74.6,9.8,Veg,Lunch/Dinner,"Bitter gourd, wheat flour, lentils, rice, spices"
Patra + Chutney + Tea,Gujarat,220g (4 pieces + 2 tbsp chutney + 1 cup tea),325,10.4,52.6,8.8,Veg,Snack,"Colocasia leaves, gram flour, green chutney, tea"
Cauliflower Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),445,16.8,76.2,9.4,Veg,Lunch/Dinner,"Cauliflower, wheat flour, lentils, rice, spices"
Dhebra + Curd + Pickle + Tea,Gujarat,280g (3 pieces + 1 bowl curd + 1 tsp pickle + 1 cup tea),385,12.6,58.4,10.8,Veg,Breakfast,"Pearl millet flour, yogurt, pickle, tea"
Green Peas Sabzi + Roti + Dal + Rice,Gujarat,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),465,17.2,78.4,9.8,Veg,Lunch/Dinner,"Green peas, wheat flour, lentils, rice, spices"
Mixed Dal + Rice + Roti + Pickle + Ghee,Gujarat,450g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle + 1 tsp ghee),485,19.4,82.4,10.8,Veg,Lunch/Dinner,"Mixed lentils, rice, wheat flour, pickle, ghee"
Dal Baati Churma + Ghee + Pickle + Chaas,Rajasthan,520g (1 bowl dal + 3 baatis + 1 bowl churma + 2 tsp ghee + 1 tsp pickle + 1 glass chaas),685,22.4,88.6,24.8,Veg,Lunch/Dinner,"Mixed dal, wheat flour, jaggery, ghee, pickle, buttermilk, spices"
Laal Maas + Bajre Ki Roti + Rice + Onion Salad,Rajasthan,520g (1 bowl curry + 3 rotis + 1 cup rice + 1 bowl salad),665,38.4,64.8,26.2,Non-Veg,Lunch/Dinner,"Mutton, red chilies, bajra flour, rice, onion, yogurt, spices"
Gatte Ki Sabzi + Roti + Dal + Rice + Pickle,Rajasthan,480g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp pickle),525,18.6,78.4,14.2,Veg,Lunch/Dinner,"Gram flour dumplings, wheat flour, lentils, rice, pickle, spices"
Ker Sangri + Bajre Ki Roti + Dal + Chaas,Rajasthan,420g (1 bowl sabzi + 3 rotis + 1 bowl dal + 1 glass chaas),485,16.8,72.6,12.4,Veg,Lunch/Dinner,"Desert beans, capers, bajra flour, lentils, buttermilk, spices"
Missi Roti + Makhan + Lassi + Pickle + Jaggery,Rajasthan,380g (3 rotis + 2 tbsp makhan + 1 glass lassi + 1 tsp pickle + 1 tsp jaggery),565,18.4,68.2,20.6,Veg,Breakfast/Lunch,"Mixed flours, butter, yogurt, pickle, jaggery, spices"
Papad Ki Sabzi + Roti + Dal + Rice + Pickle,Rajasthan,450g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp pickle),485,16.4,76.8,12.8,Veg,Lunch/Dinner,"Papads, wheat flour, lentils, rice, pickle, spices"
Safed Maas + Naan + Rice + Raita,Rajasthan,520g (1 bowl curry + 2 naans + 1 cup rice + 1 bowl raita),625,34.6,68.2,20.8,Non-Veg,Lunch/Dinner,"Mutton, cashews, cream, refined flour, rice, yogurt"
Pyaaz Kachori + Aloo Sabzi + Chutney + Tea,Rajasthan,320g (2 kachoris + 1 bowl sabzi + 2 tbsp chutney + 1 cup tea),525,14.8,68.4,20.6,Veg,Breakfast/Snack,"Refined flour, onions, potato, tamarind chutney, tea leaves"
Mangodi Ki Sabzi + Roti + Dal + Rice + Pickle,Rajasthan,450g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp pickle),505,19.2,74.6,14.8,Veg,Lunch/Dinner,"Moong dal dumplings, wheat flour, lentils, rice, pickle"
Bajre Ka Khichda + Ghee + Pickle + Chaas,Rajasthan,420g (1 bowl + 1 tsp ghee + 1 tsp pickle + 1 glass chaas),445,16.8,68.2,12.4,Veg,Lunch/Dinner,"Pearl millet, lentils, ghee, pickle, buttermilk, spices"
Kair Ki Sabzi + Bajre Ki Roti + Dal + Pickle,Rajasthan,420g (1 bowl sabzi + 3 rotis + 1 bowl dal + 1 tsp pickle),465,16.4,72.6,12.2,Veg,Lunch/Dinner,"Desert berries, bajra flour, lentils, pickle, spices"
Bati + Panchmel Dal + Churma + Ghee + Pickle,Rajasthan,480g (2 batis + 1 bowl dal + 1 bowl churma + 2 tsp ghee + 1 tsp pickle),625,20.4,82.6,20.8,Veg,Lunch/Dinner,"Wheat flour, five lentils, jaggery, ghee, pickle"
Mohan Maas + Roti + Rice + Raita,Rajasthan,520g (1 bowl curry + 2 rotis + 1 cup rice + 1 bowl raita),585,32.4,62.8,22.6,Non-Veg,Lunch/Dinner,"Mutton, milk, cashews, wheat flour, rice, yogurt"
Dal Pakwan + Aloo Sabzi + Chutney + Chaas,Rajasthan,380g (3 pakwans + 1 bowl dal + 1 bowl sabzi + 1 tbsp chutney + 1 glass chaas),525,18.4,68.2,18.6,Veg,Breakfast/Lunch,"Refined flour, chana dal, potato, chutney, buttermilk"
Sangri Ki Sabzi + Missi Roti + Dal + Pickle,Rajasthan,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 tsp pickle),465,16.8,72.4,12.2,Veg,Lunch/Dinner,"Dried beans, mixed flour, lentils, pickle, spices"
Jungli Maas + Bajre Ki Roti + Rice + Onion,Rajasthan,520g (1 bowl curry + 3 rotis + 1 cup rice + 1 tbsp onion),645,36.8,64.2,24.6,Non-Veg,Lunch/Dinner,"Wild game meat, bajra flour, rice, onion, spices"
Rajasthani Kadhi + Rice + Roti + Pickle + Papad,Rajasthan,480g (1 bowl kadhi + 1 cup rice + 1 roti + 1 tsp pickle + 1 papad),465,16.4,76.8,11.2,Veg,Lunch/Dinner,"Gram flour, yogurt, rice, wheat flour, pickle, papad"
Aloo Pyaaz Ki Sabzi + Roti + Dal + Rice,Rajasthan,450g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),485,16.8,78.4,12.6,Veg,Lunch/Dinner,"Potato, onion, wheat flour, lentils, rice, spices"
Dahi Bhalla + Aloo Tikki + Chutney + Chaas,Rajasthan,350g (3 bhallas + 2 tikkis + 2 tbsp chutney + 1 glass chaas),485,16.4,68.2,16.8,Veg,Snack,"Urad dal, potato, yogurt, chutneys, buttermilk"
Pithore + Milk + Jaggery + Ghee,Rajasthan,280g (1 bowl + 1 glass milk + 1 tsp jaggery + 1 tsp ghee),445,14.6,68.4,12.8,Veg,Breakfast/Dessert,"Wheat flour, milk, jaggery, ghee, cardamom"
Sev Tamatar + Bajre Ki Roti + Dal + Pickle,Rajasthan,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 tsp pickle),465,16.2,72.6,13.8,Veg,Lunch/Dinner,"Tomatoes, sev, bajra flour, lentils, pickle"
Laal Bhopla + Roti + Dal + Rice + Ghee,Rajasthan,450g (1 bowl bhopla + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp ghee),485,16.8,76.4,12.8,Veg,Lunch/Dinner,"Red pumpkin, wheat flour, lentils, rice, ghee, spices"
Rajasthani Panchkuti Dal + Rice + Roti + Ghee + Pickle,Rajasthan,480g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp ghee + 1 tsp pickle),525,20.4,82.4,14.8,Veg,Lunch/Dinner,"Five mixed lentils, rice, wheat flour, ghee, pickle, spices"
Simple Dal Rice + Roti + Pickle + Ghee,Rajasthan,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle + 1 tsp ghee),465,18.2,78.4,10.6,Veg,Lunch/Dinner,"Arhar dal, rice, wheat flour, pickle, ghee, turmeric"
Aloo Sabzi + Bajra Roti + Dal + Pickle,Rajasthan,380g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 tsp pickle),425,14.6,68.2,10.4,Veg,Lunch/Dinner,"Potato, bajra flour, lentils, pickle, spices"
Bhindi Sabzi + Roti + Dal + Rice + Pickle,Rajasthan,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp pickle),465,16.8,76.4,10.2,Veg,Lunch/Dinner,"Okra, wheat flour, lentils, rice, pickle, spices"
Poha + Tea + Banana + Peanuts,Rajasthan,280g (1 bowl + 1 cup tea + 1 banana + 2 tbsp peanuts),365,10.4,62.8,9.2,Veg,Breakfast,"Flattened rice, onions, peanuts, tea, banana"
Upma + Pickle + Tea + Curd,Rajasthan,300g (1 bowl + 1 tsp pickle + 1 cup tea + 1 bowl curd),345,12.4,58.6,8.2,Veg,Breakfast,"Semolina, vegetables, pickle, tea, yogurt"
Baingan Sabzi + Roti + Dal + Rice,Rajasthan,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice),445,16.2,74.6,9.8,Veg,Lunch/Dinner,"Brinjal, wheat flour, lentils, rice, spices"
Dahi Rice + Pickle + Papad + Roasted Cumin,Rajasthan,350g (1 bowl + 1 tsp pickle + 1 papad + 1 tsp cumin),325,12.4,62.8,6.2,Veg,Lunch,"Rice, yogurt, pickle, papad, cumin powder"
Chana Dal + Rice + Roti + Pickle,Rajasthan,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle),465,18.6,76.2,10.4,Veg,Lunch/Dinner,"Chana dal, rice, wheat flour, pickle, spices"
Masoor Dal + Rice + Roti + Ghee + Pickle,Rajasthan,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp ghee + 1 tsp pickle),485,18.4,78.6,11.8,Veg,Lunch/Dinner,"Red lentils, rice, wheat flour, ghee, pickle"
Cabbage Sabzi + Bajra Roti + Dal + Pickle,Rajasthan,380g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 tsp pickle),425,14.8,68.4,9.6,Veg,Lunch/Dinner,"Cabbage, bajra flour, lentils, pickle, spices"
Moong Dal + Rice + Roti + Pickle + Papad,Rajasthan,420g (1 bowl dal + 1 cup rice + 2 rotis + 1 tsp pickle + 1 papad),445,18.2,74.8,9.4,Veg,Lunch/Dinner,"Moong dal, rice, wheat flour, pickle, papad"
Paratha + Curd + Pickle + Tea + Butter,Rajasthan,320g (2 parathas + 1 bowl curd + 1 tsp pickle + 1 cup tea + 1 tsp butter),485,14.6,62.8,18.4,Veg,Breakfast,"Wheat flour, yogurt, pickle, tea, butter"
Gourd Sabzi + Roti + Dal + Rice + Pickle,Rajasthan,420g (1 bowl sabzi + 2 rotis + 1 bowl dal + 1 cup rice + 1 tsp pickle),445,16.4,76.2,9.6,Veg,Lunch/Dinner,"Bottle gourd, wheat flour, lentils, rice, pickle"
Khichdi + Pickle + Papad + Ghee + Curd,Rajasthan,420g (1 bowl + 1 tsp pickle + 1 papad + 1 tsp ghee + 1 bowl curd),425,16.4,68.2,10.4,Veg,Lunch/Dinner,"Rice, moong dal, pickle, papad, ghee, yogurt"
